car,charge_time,charger_fid,charger_id,destination_fid,from_charger_id,kind,last_charger_id,msg,t,to_charger_id,walking_dist_m
Car 60,,,,,3,switch,,"Charger 3 (fid=12) not available, trying Charger 4 (fid=11)",526.0,4,
Car 35,,33,1,,,start_charge,,starting to charge at Charger 1 (fid=33),527.0446239789972,,
Car 64,,,,,,gave_up,1,"no alternate charger available, gave up",530.0261972399368,,
Car 60,,,,,4,switch,,"Charger 4 (fid=11) not available, trying Charger 0 (fid=115)",531.7905060903597,0,
Car 60,,,,,0,switch,,"Charger 0 (fid=115) not available, trying Charger 2 (fid=8)",535.9419565283101,2,
Car 68,93.0,115,0,,,done,,done charging,537.9419565283101,,583.6080301208323
Car 45,,,,85,,arrived,,arrived,540.0,,
Car 45,,,,,3,switch,,"Charger 3 (fid=12) not available, trying Charger 4 (fid=11)",541.0,4,
Car 60,,,,,2,switch,,"Charger 2 (fid=8) not available, trying Charger 5 (fid=47)",542.7071929423787,5,
Car 45,,,,,4,switch,,"Charger 4 (fid=11) not available, trying Charger 0 (fid=115)",546.7905060903597,0,
Car 9,75.0,12,3,,,done,,done charging,547.0,,215.8672026793759
Car 60,,,,,5,switch,,"Charger 5 (fid=47) not available, trying Charger 1 (fid=33)",549.1885874765474,1,
Car 45,,115,0,,,start_charge,,starting to charge at Charger 0 (fid=115),549.9419565283101,,
Car 60,,,,,,gave_up,1,"no alternate charger available, gave up",552.144130280994,,
Car 57,49.0,11,4,,,done,,done charging,558.1514504379504,,279.997710022211
Car 30,,,,66,,arrived,,arrived,559.0,,
Car 30,,,,,2,switch,,"Charger 2 (fid=8) not available, trying Charger 4 (fid=11)",560.0,4,
Car 30,,11,4,,,start_charge,,starting to charge at Charger 4 (fid=11),563.409150285496,,
Car 32,79.0,8,2,,,done,,done charging,580.0,,205.35989145300152
Car 43,,,,38,,arrived,,arrived,585.0,,
Car 43,,,,,5,switch,,"Charger 5 (fid=47) not available, trying Charger 1 (fid=33)",586.0,1,
Car 43,,,,,1,switch,,"Charger 1 (fid=33) not available, trying Charger 2 (fid=8)",588.9555428044466,2,
Car 35,67.0,33,1,,,done,,done charging,594.0446239789972,,715.1739385162304
Car 43,,8,2,,,start_charge,,starting to charge at Charger 2 (fid=8),594.7789922197492,,
Car 90,,,,40,,arrived,,arrived,595.0,,
Car 90,,,,,4,switch,,"Charger 4 (fid=11) not available, trying Charger 2 (fid=8)",596.0,2,
Car 45,50.0,115,0,,,done,,done charging,599.9419565283101,,615.236274837365
Car 90,,,,,2,switch,,"Charger 2 (fid=8) not available, trying Charger 3 (fid=12)",600.409150285496,3,
Car 59,120.0,47,5,,,done,,done charging,600.5160316861618,,345.3594027653281
Car 90,,12,3,,,start_charge,,starting to charge at Charger 3 (fid=12),608.0053861565455,,
Car 30,51.0,11,4,,,done,,done charging,614.409150285496,,358.4072287965269
Car 44,,,,51,,arrived,,arrived,631.0,,
Car 75,,,,3,,arrived,,arrived,631.0,,
