car,charge_time,charger_fid,charger_id,destination_fid,from_charger_id,kind,msg,t,to_charger_id,waited,walking_dist_m
Car 280,,17,4,,,start_charge,starting to charge at Charger 4 (fid=17),328.0,,6.187041018350897,
Car 341,111.0,19,3,,,done,done charging,329.0,,,21.36065434390639
Car 130,54.0,51,9,,,done,done charging,331.0,,,114.0234729956875
Car 289,,,,25,,arrived,arrived,332.0,,,
Car 186,,,,,8,switch,"Charger 8 (fid=34) not available, trying Charger 13 (fid=31)",333.5257851958261,13,,
Car 46,,,,7,,arrived,arrived,334.0,,,
Car 453,,,,38,,arrived,arrived,334.0,,,
Car 235,61.0,12,10,,,done,done charging,335.0,,,37.99048340046035
Car 45,88.0,19,3,,,done,done charging,335.58109360769265,,,69.66534042835744
Car 329,,,,22,,arrived,arrived,336.0,,,
Car 329,,23,12,,,start_charge,starting to charge at Charger 12 (fid=23),336.0,,0.0,
Car 186,,31,13,,,start_charge,starting to charge at Charger 13 (fid=31),336.3064529554788,,15.0,
