car,charge_time,charger_fid,charger_id,destination_fid,from_charger_id,kind,msg,t,to_charger_id,walking_dist_m
Car 259,,,,,0,switch,"Charger 0 (fid=115) not available, trying Charger 25 (fid=70)",304.8964556338052,25,
Car 188,61.0,28,9,,,done,done charging,305.0340159173123,,86.1335259121122
Car 223,,,,,14,switch,"Charger 14 (fid=28) not available, trying Charger 4 (fid=11)",307.00256941174683,4,
Car 259,,,,,25,switch,"Charger 25 (fid=70) not available, trying Charger 27 (fid=65)",307.35840790784334,27,
Car 23,69.0,5,16,,,done,done charging,307.90163099514314,,280.0346934559808
Car 57,65.0,115,0,,,done,done charging,308.058989426882,,159.53403158246306
Car 70,97.0,70,25,,,done,done charging,309.33736038236617,,194.44641312748814
Car 35,,,,116,,arrived,arrived,310.0,,
Car 281,91.0,21,19,,,done,done charging,310.0,,58.96096273707809
Car 98,81.0,35,28,,,done,done charging,310.0,,92.84340747116998
